#
# Version: 2011-03-12 00:00:00.0
#
# Table label_fr = Codes INS via Code postal
#
# POSTAL_CODE_fr  =  Code postal
# SEQNBR_fr  =  Numéro de séquence
# NIS_CODE_fr  =  Code INS
# EXPIRATION_DATE_fr  =  Date de suppression
# LATEST_TREATMENT_DATE_fr  =  Date du dernier traitement
#
# Table label_nl = NIS-codes via postcode
#
# POSTAL_CODE_nl  =  Postcode
# SEQNBR_nl  =  Sequentienummer
# NIS_CODE_nl  =  NIS-code
# EXPIRATION_DATE_nl  =  Verwijderingsdatum
# LATEST_TREATMENT_DATE_nl  =  Datum laatste verwerking
#
# Table label_de = LAS-Codes über Postleitzahl
#
# POSTAL_CODE_de  =  Postleitzahl
# SEQNBR_de  =  Sequenznummer
# NIS_CODE_de  =  LAS-Code
# EXPIRATION_DATE_de  =  Löschungsdatum
# LATEST_TREATMENT_DATE_de  =  Datum der letzten Verarbeitung
#
POSTAL_CODE;SEQNBR;NIS_CODE;EXPIRATION_DATE;LATEST_TREATMENT_DATE
2540;0;11021;;
2547;0;11025;;
2550;0;11024;;
2550;1;11048;;1990-10-26
2560;0;12003;;1990-10-26
2560;1;12018;;1990-10-26
2560;2;12026;;
2570;0;12009;;
2580;0;12001;;1990-10-26
2580;1;12027;;1990-10-26
2580;2;12029;;
2580;3;12031;;1990-10-26
2590;0;12002;;
2590;1;12010;;1984-12-13
2600;0;11002;;
2600;1;11003;;
2610;0;11002;;
2610;1;11051;;
2620;0;11002;;1991-06-14
2620;1;11018;;
2627;0;11038;;
2630;0;11001;;
2640;0;11029;;
2650;0;11013;;
2660;0;11002;;
2660;1;11019;;1990-10-26
2800;0;12025;;
2800;1;12037;;1985-01-03
2801;0;12012;;
2801;1;12025;;
2811;0;12016;;1990-10-26
2811;1;12020;;1990-10-26
2811;2;12025;;
2812;0;12025;;
2812;1;23054;;1990-10-26
2820;0;12005;;
2820;1;12031;;1990-10-26
2830;0;12004;;1990-10-26
2830;1;12013;;1990-10-26
2830;2;12036;;1990-10-26
2830;3;12040;;
2840;0;11036;;1990-10-26
2840;1;11037;;
2840;2;11045;;1990-10-26
2845;0;11030;;
2850;0;11005;;
2860;0;12035;;
2861;0;12027;;1990-10-26
2861;1;12035;;
2870;0;12008;;1990-10-26
2870;1;12022;;1990-10-26
2870;2;12030;;
2870;3;12032;;1990-10-26
2880;0;12007;;
2880;1;12015;;1990-10-26
2880;2;12024;;1990-10-26
2880;3;12038;;1990-10-26
2890;0;12023;;1990-10-26
2890;1;12028;;1990-10-26
2890;2;12034;;
2900;0;11040;;
2910;0;11016;;
2920;0;11022;;
2930;0;11008;;
2940;0;11020;;1990-10-26
2940;1;11044;;
2950;0;11014;;1990-10-26
2950;1;11023;;
2960;0;11009;;
2960;1;11042;;1990-10-26
2960;2;11043;;1990-10-26
2970;0;11039;;
2970;1;11041;;1990-10-26
2980;0;11017;;1990-10-26
2980;1;11055;;
2990;0;11009;;1991-06-14
2990;1;11026;;1990-10-26
